ID,Date,Duration,Language,Length,Transcription
DIRTY_001,01-15-2026,half hour,English,court,"Rendez-vous <script>alert('XSS')</script> avec Signora D'Angelo.
    <b>Budget:</b> 12000 euros <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: ??? <br> Age: born 2001
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: beige. suit régime Keto. allergy nuts, latex, perfumes."
DIRTY_002,1/15/26,,MIX,moyen,"Client Sr. José María Pérez-López Sr. José María Pérez-López (doublon??)
    Age 27-year-old ou 27-year-old ans
    Budget 25000€ / 25000€ euros
    Ville Inconnu / Inconnu
    ATTENTION: POSSIBLE DUPLICATE: POSSIBLE DUPLICATE:
    halal. pas d'allergie connue. blanc. ski."
DIRTY_003,31/02/2026,N/A,Anglais,LONG,"عميل مهم Mrs. Björk Jónsdóttir من St-Tropez.
    العمر: 46 anni. الميزانية: 12000$.
    يبحث عن حقيبة فاخرة blanc.
    flexitarien. pas d'allergie connue. 
    Sport: marathon. رياضي جدا.
    Rappeler en français merci."
DIRTY_004,,0.5h,en,court,"From: sales@boutique.com
    To: manager@boutique.com  
    Subject: RE: FW: RE: Client السيد أحمد
    
    -----Original Message-----
    Hi,
    Pls see below client info:
    - 46 años
    - 3000€-6436€  
    - HK
    - rosé gold leather pref
    
    Rgds,
    
    >>> Previous message truncated...
    
    Sent from my iPhone
    --
    This email is confidential blah blah disclaimer..."
DIRTY_005,,30 min,Français,long,"Client Mme Śląska Bądź rencontré boutique.
    Ã¢ge: 43+ -- Caractères encodés: Ã©Ã¨Ãªà 
    Budget: 15000$ â‚¬
    Ville: new york aÃ©roport
    RÃ©gime: flexitarien
    Couleur: rose-gold
    Sport: Tennis"
DIRTY_006,15.01.26,court,EN,longe,"M. Mlle Çelik, nouveau client mais client fidèle depuis 2015.
    58 anni dynamique et retraité depuis 20 ans.
    Budget 20k euros limité mais très généreux illimité.
    suit régime Keto strict mais mange de tout occasionnellement.
    Habite MILAN mais n'a jamais visité cette ville.
    Aime beige mais déteste absolument cette couleur.
    aucune mais aucun problème avec ces allergènes."
DIRTY_007,???,half hour,Italian,,"Client Client_7, around 31. Wants to buy un sac pour business trips. 
    Budget unlimited budget. Habite riviera mais travels often to München et Milano.
    Sport: YOGA. suit régime Keto. Cuir rose gold preferred. ???."
DIRTY_008,,30m,IT,longe,"RDV mme durand marie le 31/02/2026 à 25:99
    Client depuis 2099, quarantaine.
    Anniversaire: hier/demain/bientôt
    Budget £3000 à confirmer 30/13/2025
    Rappeler: la semaine prochaine ou le mois dernier
    singapour. végane strict. intolérances: gluten lactose. noir."
DIRTY_009,invalid,~30min,EN,,"Rendez-vous <script>alert('XSS')</script> avec M. DUPONT Jean-Pierre.
    <b>Budget:</b> environ 3000€ <i>flexible</i>
    <h1>IMPORTANT CLIENT</h1>
    Ville: Singapoure <br> Age: 29-year-old
    DROP TABLE clients; -- juste un test
    <img src=""fake.jpg"" onerror=""alert('hack')"">
    Couleur: BORDEAUX. vegetarian events. ."
DIRTY_010,15.01.26,~30min,anglais,longe,"Client . Age: . Budget: . Ville: .
    Sport: ???. Régime: N/A. Allergie: null.
    Couleur: undefined. Profession: NaN.
    TODO: compléter fiche plus tard"
